Python: [
    // ==================== LEVEL 1 (EASY - 90 Questions) ====================
    { level: "Level 1", question: "Which keyword is used to define a function in Python?", options: ["function", "def", "fun", "define"], answer: "def" },
    { level: "Level 1", question: "What is the correct file extension for Python files?", options: [".python", ".pyt", ".py", ".p"], answer: ".py" },
    { level: "Level 1", question: "Which character is used to give single-line comments in Python?", options: ["//", "/*", "#", "--"], answer: "#" },
    { level: "Level 1", question: "Which function is used to display output on the screen?", options: ["echo()", "print()", "printf()", "display()"], answer: "print()" },
    { level: "Level 1", question: "What is the output of 2 ** 3 in Python?", options: ["6", "8", "9", "5"], answer: "8" },
    { level: "Level 1", question: "Which of the following is a valid variable name in Python?", options: ["2myvar", "my_var", "my-var", "my var"], answer: "my_var" },
    { level: "Level 1", question: "What is the correct data type for textual data in Python?", options: ["char", "text", "str", "string"], answer: "str" },
    { level: "Level 1", question: "How do you start a 'for' loop in Python?", options: ["for x in y:", "for x to y:", "for (x <= y)", "foreach x in y"], answer: "for x in y:" },
    { level: "Level 1", question: "Which operator is used for integer division?", options: ["/", "//", "%", "**"], answer: "//" },
    { level: "Level 1", question: "Which keyword is used to import modules in Python?", options: ["include", "import", "using", "require"], answer: "import" },
    { level: "Level 1", question: "What is the output of len('Hello')?", options: ["4", "5", "6", "Error"], answer: "5" },
    { level: "Level 1", question: "Which collection is ordered, changeable, and allows duplicate members?", options: ["List", "Tuple", "Set", "Dictionary"], answer: "List" },
    { level: "Level 1", question: "How do you insert comments spanning multiple lines?", options: ["/* Comment */", "''' Comment '''", "// Comment", "<!-- Comment -->"], answer: "''' Comment '''" },
    { level: "Level 1", question: "Which statement is used to stop a loop?", options: ["exit", "stop", "break", "return"], answer: "break" },
    { level: "Level 1", question: "Which method removes whitespace from beginning and end of a string?", options: ["trim()", "strip()", "cut()", "clean()"], answer: "strip()" },
    { level: "Level 1", question: "What is the default return value of a Python function if no return statement is given?", options: ["0", "False", "None", "Null"], answer: "None" },
    { level: "Level 1", question: "Which keyword is used to create a class in Python?", options: ["class", "struct", "object", "create"], answer: "class" },
    { level: "Level 1", question: "What does the range(5) function generate?", options: ["Numbers 1 to 5", "Numbers 0 to 4", "Numbers 0 to 5", "Numbers 1 to 4"], answer: "Numbers 0 to 4" },
    { level: "Level 1", question: "Which of the following is an immutable data type?", options: ["List", "Dictionary", "Tuple", "Set"], answer: "Tuple" },
    { level: "Level 1", question: "How do you check the data type of an object in Python?", options: ["typeof()", "type()", "datatype()", "check()"], answer: "type()" },
    { level: "Level 1", question: "Which method adds an element at the end of a list?", options: ["add()", "insert()", "append()", "push()"], answer: "append()" },
    { level: "Level 1", question: "What is the logical AND operator in Python?", options: ["&&", "and", "&", "AND"], answer: "and" },
    { level: "Level 1", question: "Which keyword is used for conditional execution in Python?", options: ["if", "case", "switch", "where"], answer: "if" },
    { level: "Level 1", question: "Which symbol is used for dictionary key-value assignment?", options: [":", "=", "->", "=>"], answer: ":" },
    { level: "Level 1", question: "What is the result of 10 % 3 in Python?", options: ["3", "1", "0", "3.33"], answer: "1" },
    { level: "Level 1", question: "Which built-in function returns the highest value in a list?", options: ["highest()", "max()", "top()", "upper()"], answer: "max()" },
    { level: "Level 1", question: "How do you convert a string '123' to an integer?", options: ["int('123')", "str.toInt('123')", "parse('123')", "cast('123')"], answer: "int('123')" },
    { level: "Level 1", question: "Which keyword is used to handle exceptions in Python?", options: ["try", "catch", "except", "both try and except"], answer: "both try and except" },
    { level: "Level 1", question: "What does the input() function return by default?", options: ["Integer", "String", "Float", "Boolean"], answer: "String" },
    { level: "Level 1", question: "Which keyword is used to return values from a function?", options: ["send", "return", "output", "yield"], answer: "return" },
    { level: "Level 1", question: "Which operator is used to check equality in Python?", options: ["=", "==", "===", "is"], answer: "==" },
    { level: "Level 1", question: "What is the output of float(5)?", options: ["5", "5.0", "5.00", "Error"], answer: "5.0" },
    { level: "Level 1", question: "How do you create a variable with the floating number 2.8?", options: ["x = 2.8", "float x = 2.8", "x = float(2.8)", "Both x = 2.8 and x = float(2.8)"], answer: "Both x = 2.8 and x = float(2.8)" },
    { level: "Level 1", question: "Which method converts all characters in a string to lowercase?", options: ["lower()", "lowercase()", "toLower()", "bottom()"], answer: "lower()" },
    { level: "Level 1", question: "Which collection is unordered, unchangeable, and unindexed?", options: ["Set", "Tuple", "List", "Dictionary"], answer: "Set" },
    { level: "Level 1", question: "How do you write 'Hello World' in Python?", options: ["print('Hello World')", "echo('Hello World')", "p('Hello World')", "Console.WriteLine('Hello World')"], answer: "print('Hello World')" },
